iter	Passed	Remaining
772	2672	784
773	2675	781
774	2680	778
775	2685	775
776	2689	771
777	2694	768
778	2697	765
779	2700	761
780	2704	758
781	2707	754
782	2711	751
783	2714	748
784	2718	744
785	2723	741
786	2725	737
787	2730	734
788	2733	730
789	2736	727
790	2738	723
791	2741	719
792	2744	716
793	2747	712
794	2750	709
795	2752	705
796	2757	702
797	2762	699
798	2765	695
799	2769	692
800	2772	688
801	2776	685
802	2780	682
803	2785	678
804	2789	675
805	2794	672
806	2797	668
807	2801	665
808	2806	662
809	2810	659
810	2814	655
811	2820	653
812	2823	649
813	2826	645
814	2829	642
815	2833	638
816	2836	635
817	2841	632
818	2844	628
819	2847	625
820	2849	621
821	2853	617
822	2856	614
823	2860	611
824	2864	607
825	2867	603
826	2869	600
827	2872	596
828	2875	593
829	2878	589
830	2880	585
831	2883	582
832	2886	578
833	2888	575
834	2893	571
835	2898	568
836	2903	565
837	2907	562
838	2910	558
839	2914	555
840	2927	553
841	2930	549
842	2933	546
843	2938	543
844	2940	539
845	2943	535
846	2948	532
847	2951	529
848	2955	525
849	2959	522
850	2962	518
851	2966	515
852	2969	511
853	2973	508
854	2978	505
855	2983	501
856	2988	498
857	2993	495
858	2997	492
859	3002	488
860	3007	485
861	3011	482
862	3014	478
863	3017	474
864	3022	471
865	3027	468
866	3032	465
867	3037	461
868	3039	458
869	3042	454
870	3046	451
871	3049	447
872	3053	444
873	3056	440
874	3061	437
875	3066	434
876	3071	430
877	3074	427
878	3077	423
879	3080	420
880	3083	416
881	3087	413
882	3090	409
883	3093	405
884	3098	402
885	3101	399
886	3105	395
887	3110	392
888	3113	388
889	3117	385
890	3122	381
891	3125	378
892	3127	374
893	3130	371
894	3133	367
895	3136	364
896	3141	360
897	3144	357
898	3147	353
899	3153	350
900	3156	346
901	3159	343
902	3162	339
903	3165	336
904	3169	332
905	3172	329
906	3177	325
907	3180	322
908	3184	318
909	3189	315
910	3192	311
911	3196	308
912	3202	305
913	3204	301
914	3207	297
915	3210	294
916	3213	290
917	3216	287
918	3219	283
919	3222	280
920	3225	276
921	3228	273
922	3233	269
923	3238	266
924	3241	262
925	3244	259
926	3247	255
927	3251	252
928	3256	248
929	3259	245
930	3262	241
931	3265	238
932	3270	234
933	3273	231
934	3278	227
935	3281	224
936	3286	220
937	3291	217
938	3295	214
939	3300	210
940	3303	207
941	3306	203
942	3311	200
943	3317	196
944	3322	193
945	3325	189
946	3328	186
947	3331	182
948	3333	179
949	3338	175
950	3343	172
951	3348	168
952	3351	165
953	3354	161
954	3358	158
955	3361	154
956	3364	151
957	3366	147
958	3369	144
959	3373	140
960	3378	137
961	3383	133
962	3391	130
963	3397	126
964	3403	123
965	3405	119
966	3408	116
967	3413	112
968	3416	109
969	3421	105
970	3423	102
971	3428	98
972	3431	95
973	3437	91
974	3440	88
975	3442	84
976	3446	81
977	3452	77
978	3457	74
979	3462	70
980	3464	67
981	3468	63
982	3472	60
983	3475	56
984	3478	52
985	3481	49
986	3485	45
987	3487	42
988	3492	38
989	3501	35
990	3508	31
991	3527	28
992	3534	24
993	3537	21
994	3547	17
995	3550	14
996	3555	10
997	3557	7
998	3560	3
999	3563	0
