iter	MultiClass
852	-0.1381172289
853	-0.1379708715
854	-0.1377750059
855	-0.1376675502
856	-0.1375759691
857	-0.1374164553
858	-0.1371893508
859	-0.1370087636
860	-0.136874812
861	-0.1367603296
862	-0.1366041417
863	-0.136471983
864	-0.136120425
865	-0.1357870376
866	-0.1356497984
867	-0.1354482025
868	-0.1352954463
869	-0.1350036699
870	-0.1348909937
871	-0.1347188058
872	-0.134446736
873	-0.1343706414
874	-0.1341174815
875	-0.133779133
876	-0.1332768413
877	-0.1331787142
878	-0.1330622056
879	-0.1327778852
880	-0.1325929497
881	-0.1323440313
882	-0.1322370704
883	-0.1321011963
884	-0.1319506301
885	-0.1317981325
886	-0.1316019348
887	-0.131482477
888	-0.1311370132
889	-0.130845252
890	-0.1306766544
891	-0.1303720746
892	-0.1302148524
893	-0.1300567392
894	-0.1299147326
895	-0.1296848501
896	-0.1295355895
897	-0.1293174415
898	-0.1291341858
899	-0.1289116793
900	-0.1287717222
901	-0.1286451362
902	-0.1283974713
903	-0.1282229679
904	-0.1280906767
905	-0.1280025325
906	-0.1279046358
907	-0.1277410022
908	-0.1276184886
909	-0.1274913133
910	-0.1273427618
911	-0.1271281069
912	-0.1270506095
913	-0.1268391521
914	-0.126681816
915	-0.1265469965
916	-0.1263373411
917	-0.126250319
918	-0.1259710996
919	-0.1257906947
920	-0.1256105602
921	-0.125443961
922	-0.1251916903
923	-0.1250188291
924	-0.1248731069
925	-0.1247061226
926	-0.1245453917
927	-0.124390686
928	-0.1242412327
929	-0.1239747077
930	-0.1237607879
931	-0.1236343395
932	-0.1235025652
933	-0.1233868225
934	-0.1233072485
935	-0.1230806147
936	-0.1229858369
937	-0.1228360278
938	-0.1226301333
939	-0.1225396393
940	-0.1223165806
941	-0.1221772643
942	-0.1218832422
943	-0.1217524971
944	-0.1215105994
945	-0.1213387151
946	-0.121202792
947	-0.1210628414
948	-0.1208914916
949	-0.1207936022
950	-0.120632239
951	-0.1204741482
952	-0.1203468497
953	-0.1202666656
954	-0.1200911818
955	-0.1198401908
956	-0.119665178
957	-0.1195531725
958	-0.1194614152
959	-0.1193514266
960	-0.119226202
961	-0.1189838571
962	-0.1189187902
963	-0.1188208206
964	-0.1185953047
965	-0.1184377127
966	-0.118238917
967	-0.1181134343
968	-0.1180192633
969	-0.1179473631
970	-0.1177090846
971	-0.1175677672
972	-0.1174453553
973	-0.1172820278
974	-0.1170411375
975	-0.1168149803
976	-0.1165556088
977	-0.1163705508
978	-0.1161773322
979	-0.1160868488
980	-0.1160074866
981	-0.1158666114
982	-0.1157520848
983	-0.1154802722
984	-0.1153969088
985	-0.115323727
986	-0.1152330753
987	-0.1151509961
988	-0.1149314304
989	-0.1148062024
990	-0.1147242519
991	-0.1145793805
992	-0.1142660716
993	-0.1141423209
994	-0.1139978475
995	-0.1137583088
996	-0.1136535695
997	-0.1135344144
998	-0.1133055809
999	-0.1131325428
