iter	Passed	Remaining
599	53158	35438
600	53237	35344
601	53321	35252
602	53423	35172
603	53568	35121
604	53672	35042
605	53769	34959
606	53870	34878
607	53966	34794
608	54060	34708
609	54147	34618
610	54243	34534
611	54332	34445
612	54429	34362
613	54520	34274
614	54600	34180
615	54681	34086
616	54775	34001
617	54862	33912
618	54947	33820
619	55033	33729
620	55133	33648
621	55225	33561
622	55303	33466
623	55386	33374
624	55473	33284
625	55561	33195
626	55643	33101
627	55720	33006
628	55804	32915
629	55890	32824
630	55969	32730
631	56053	32638
632	56135	32546
633	56211	32450
634	56307	32365
635	56388	32272
636	56483	32187
637	56573	32099
638	56651	32005
639	56735	31913
640	56811	31817
641	56891	31724
642	56977	31634
643	57065	31545
644	57160	31460
645	57246	31370
646	57329	31278
647	57419	31190
648	57503	31099
649	57591	31010
650	57684	30924
651	57769	30833
652	57848	30740
653	57926	30646
654	58021	30560
655	58135	30485
656	58233	30402
657	58318	30311
658	58403	30220
659	58494	30133
660	58581	30044
661	58666	29953
662	58752	29863
663	58849	29779
664	58962	29703
665	59061	29619
666	59169	29540
667	59257	29451
668	59338	29358
669	59457	29284
670	59569	29207
671	59659	29119
672	59761	29037
673	59855	28950
674	59947	28863
675	60043	28778
676	60145	28695
677	60230	28604
678	60318	28515
679	60452	28448
680	60557	28366
681	60653	28281
682	60758	28199
683	60867	28120
684	60970	28037
685	61075	27955
686	61206	27886
687	61307	27802
688	61435	27730
689	61529	27643
690	61645	27566
691	61942	27569
692	62084	27503
693	62203	27426
694	62323	27350
695	62448	27276
696	62536	27185
697	62626	27096
698	62720	27008
699	62809	26918
700	62893	26826
701	62984	26737
702	63073	26646
703	63204	26574
704	63330	26499
705	63507	26446
706	63635	26372
707	63738	26287
708	63834	26200
709	63924	26110
710	64027	26025
711	64118	25935
712	64222	25851
713	64325	25766
714	64461	25694
715	64572	25612
716	64691	25533
717	64798	25449
718	64891	25360
719	64973	25267
720	65056	25174
721	65143	25083
722	65224	24989
723	65314	24898
724	65409	24810
725	65562	24743
726	65739	24686
727	65825	24594
728	65909	24501
729	65994	24409
730	66080	24316
731	66185	24231
732	66306	24152
733	66409	24066
734	66499	23976
735	66589	23885
736	66676	23793
737	66771	23704
738	66858	23612
739	66959	23526
740	67051	23436
741	67142	23346
742	67227	23253
743	67312	23161
744	67405	23071
745	67499	22982
746	67578	22887
747	67672	22798
748	67766	22709
749	67850	22616
750	67942	22526
751	68030	22435
752	68114	22343
753	68194	22249
754	68275	22155
755	68358	22062
756	68447	21971
757	68530	21879
758	68624	21789
759	68708	21697
760	68808	21610
761	68897	21519
762	68976	21425
763	69061	21333
764	69149	21241
765	69231	21148
766	69319	21057
767	69405	20966
768	69545	20890
769	69664	20808
770	69770	20722
771	69873	20636
772	69971	20547
773	70073	20460
774	70164	20370
775	70283	20287
776	70387	20201
777	70502	20117
778	70641	20040
779	70772	19961
780	70905	19882
781	71040	19804
782	71158	19720
783	71268	19635
784	71420	19560
785	71538	19477
786	71658	19394
787	71782	19312
788	71917	19232
789	72031	19147
790	72134	19059
791	72262	18977
792	72386	18895
793	72556	18824
794	72702	18747
795	72810	18659
796	72938	18577
797	73074	18497
798	73188	18411
799	73308	18327
800	73417	18239
801	73523	18151
802	73703	18081
803	73829	17998
804	73957	17915
805	74058	17825
806	74175	17739
807	74293	17653
808	74412	17568
809	74526	17481
810	74622	17390
811	74714	17298
812	74819	17209
813	74947	17125
814	75064	17039
815	75179	16952
816	75290	16864
817	75401	16776
818	75526	16691
819	75609	16597
820	75711	16507
821	75833	16421
822	75937	16331
823	76047	16243
824	76151	16153
825	76259	16064
826	76377	15977
827	76501	15891
828	76641	15809
829	76754	15720
830	76866	15632
831	76966	15541
832	77083	15453
833	77180	15362
834	77268	15268
835	77364	15176
836	77462	15085
837	77551	14992
838	77632	14897
839	77717	14803
840	77796	14708
841	77887	14615
842	77969	14521
843	78063	14428
844	78231	14350
845	78352	14262
846	78446	14170
847	78544	14078
848	78672	13992
849	78766	13900
850	78852	13806
851	78938	13712
852	79028	13619
853	79148	13531
854	79258	13441
855	79352	13349
856	79448	13256
857	79562	13167
858	79675	13078
859	79770	12985
860	79862	12892
861	79977	12803
862	80079	12712
863	80186	12621
864	80288	12530
865	80389	12438
866	80485	12346
867	80580	12254
868	80677	12161
869	80781	12070
870	80877	11978
871	81005	11890
872	81108	11799
873	81208	11707
874	81324	11617
875	81443	11528
876	81553	11437
877	81677	11349
878	81813	11262
879	81917	11170
880	82034	11080
881	82165	10992
882	82277	10902
883	82398	10812
884	82553	10727
885	82681	10638
886	82825	10551
887	82958	10463
888	83072	10372
889	83183	10281
890	83320	10192
891	83429	10101
892	83533	10009
893	83682	9922
894	83828	9834
895	83927	9741
896	84027	9648
897	84127	9555
898	84253	9465
899	84388	9376
900	84488	9283
901	84616	9193
902	84775	9106
903	84918	9017
904	85061	8929
905	85191	8838
906	85301	8746
907	85402	8653
908	85533	8562
909	85703	8476
910	85804	8382
911	85912	8289
912	86007	8195
913	86100	8101
914	86207	8008
